Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1999.98,2004.99,1983.81,1997.0,1997.0,4351400
2021-01-05,1990.0,2059.45,1982.46,2059.45,2059.45,5211605
2021-01-06,2064.8,2125.0,2036.03,2100.0,2100.0,4741020
2021-01-07,2097.0,2140.0,2075.0,2140.0,2140.0,3793139
2021-01-08,2142.0,2150.88,2063.02,2090.0,2090.0,5386164
2021-01-11,2090.0,2150.5,2058.6,2099.73,2099.73,5107990
2021-01-12,2088.0,2160.9,2085.0,2160.9,2160.9,4105859
2021-01-13,2164.0,2173.33,2135.0,2164.0,2164.0,3438993
2021-01-14,2156.0,2163.0,2116.11,2134.0,2134.0,3615220
2021-01-15,2115.0,2134.35,2029.0,2082.0,2082.0,5950939
2021-01-18,2061.06,2091.48,2040.27,2063.0,2063.0,3914404
2021-01-19,2073.11,2096.3,2006.85,2009.41,2009.41,4634519
2021-01-20,2008.0,2055.49,1982.5,2040.63,2040.63,4508242
2021-01-21,2048.0,2090.02,2041.0,2070.0,2070.0,3831017
2021-01-22,2069.0,2100.0,2060.1,2079.95,2079.95,2924761
2021-01-25,2083.0,2179.5,2083.0,2175.0,2175.0,5595716
2021-01-26,2185.0,2187.0,2125.11,2141.89,2141.89,3174746
2021-01-27,2141.89,2141.89,2085.0,2089.0,2089.0,3712017
2021-01-28,2080.0,2109.66,2060.02,2088.0,2088.0,3512864
2021-01-29,2101.19,2149.48,2090.22,2116.18,2116.18,3370133
2021-02-01,2130.0,2160.0,2095.0,2109.32,2109.32,2934059
2021-02-02,2112.22,2149.99,2102.1,2145.0,2145.0,3458225
2021-02-03,2150.0,2198.27,2140.0,2189.91,2189.91,3871415
2021-02-04,2191.0,2330.0,2191.0,2320.85,2320.85,6385101
2021-02-05,2325.0,2364.6,2291.0,2313.0,2313.0,3972906
2021-02-08,2337.0,2378.88,2313.0,2368.8,2368.8,3578573
2021-02-09,2368.8,2456.43,2350.0,2456.43,2456.43,3329655
2021-02-10,2485.0,2601.2,2485.0,2601.0,2601.0,6137057
2021-02-18,2587.98,2627.88,2465.0,2471.0,2471.0,6591232
2021-02-19,2451.16,2496.66,2381.6,2460.0,2460.0,5938546
2021-02-22,2455.0,2455.0,2278.22,2288.02,2288.02,7893547
2021-02-23,2265.14,2344.89,2265.0,2307.0,2307.0,5745460
2021-02-24,2307.99,2318.0,2160.5,2189.0,2189.0,8211578
2021-02-25,2209.0,2224.5,2121.21,2150.0,2150.0,5972643
2021-02-26,2100.0,2179.95,2067.3,2122.78,2122.78,6652506
2021-03-01,2179.0,2179.0,2120.0,2158.0,2158.0,4491626
2021-03-02,2180.0,2180.0,2033.0,2058.0,2058.0,7076450
2021-03-03,2040.0,2149.77,2033.0,2140.0,2140.0,5421546
2021-03-04,2095.0,2096.0,2010.1,2033.0,2033.0,6508829
2021-03-05,2000.0,2095.0,1988.0,2060.11,2060.11,6377920
2021-03-08,2074.96,2085.0,1960.0,1960.0,1960.0,6309959
2021-03-09,1955.0,2000.0,1900.18,1936.99,1936.99,8226581
2021-03-10,1977.0,1999.87,1967.0,1970.01,1970.01,5117174
2021-03-11,1975.0,2079.99,1961.48,2048.0,2048.0,5676897
2021-03-12,2070.0,2077.0,2002.01,2026.0,2026.0,4032251
2021-03-15,2050.0,2069.8,1951.15,1975.45,1975.45,6248487
2021-03-16,1974.93,2019.99,1965.0,2010.5,2010.5,3464850
2021-03-17,2000.0,2050.0,1976.01,2030.36,2030.36,3137491
2021-03-18,2035.0,2086.36,2035.0,2069.7,2069.7,3386488
2021-03-19,2035.0,2043.0,1992.23,2010.0,2010.0,3578077
2021-03-22,2000.1,2026.09,1955.55,1989.99,1989.99,3691407
2021-03-23,1998.88,2008.8,1970.0,1996.0,1996.0,2744619
2021-03-24,1981.0,2013.0,1981.0,1989.0,1989.0,2935739
2021-03-25,1970.01,1988.88,1946.8,1971.0,1971.0,3157523
2021-03-26,1985.0,2022.0,1958.0,2013.0,2013.0,5001642
2021-03-29,2043.2,2096.35,2026.15,2034.1,2034.1,5699220
2021-03-30,2040.0,2086.0,2035.08,2056.05,2056.05,3262697
2021-03-31,2045.1,2046.02,2000.0,2009.0,2009.0,3715441
2021-04-01,2021.0,2046.8,2001.22,2044.5,2044.5,2658763
2021-04-02,2056.0,2165.0,2056.0,2162.0,2162.0,5202757
2021-04-06,2161.0,2161.98,2102.3,2126.03,2126.03,3274177
2021-04-07,2104.06,2117.3,2050.0,2061.0,2061.0,4020097
2021-04-08,2047.03,2079.0,2044.0,2070.0,2070.0,2854762
2021-04-09,2042.0,2054.0,2005.01,2020.0,2020.0,2880886
2021-04-12,2011.0,2030.0,1991.7,2008.89,2008.89,3194307
2021-04-13,2020.0,2049.8,2009.0,2021.0,2021.0,2899215
2021-04-14,2035.0,2048.0,2016.0,2047.0,2047.0,2411465
2021-04-15,2030.9,2046.9,1990.0,2015.6,2015.6,3436621
2021-04-16,2025.08,2068.0,2012.0,2054.98,2054.98,3029370
2021-04-19,2055.0,2098.36,2033.0,2088.0,2088.0,3175391
2021-04-20,2071.1,2129.0,2070.0,2094.8,2094.8,2829037
2021-04-21,2076.0,2097.8,2065.1,2080.0,2080.0,2614975
2021-04-22,2089.9,2099.0,2051.5,2055.5,2055.5,2685002
2021-04-23,2055.97,2119.88,2052.5,2108.94,2108.94,3346277
2021-04-26,2132.0,2135.0,2073.6,2077.82,2077.82,3404511
2021-04-27,2087.08,2095.25,2065.09,2094.44,2094.44,2210785
2021-04-28,2010.0,2047.5,2003.0,2042.0,2042.0,8134295
2021-04-29,2047.04,2049.94,2014.0,2026.36,2026.36,4128378
2021-04-30,2026.0,2036.0,2003.71,2006.78,2006.78,3840137
2021-05-06,2000.0,2006.84,1953.0,1959.0,1959.0,5354614
2021-05-07,1965.0,1967.98,1901.0,1903.0,1903.0,5249339
2021-05-10,1900.0,1909.0,1866.01,1879.03,1879.03,4600318
2021-05-11,1876.0,1966.0,1873.3,1959.0,1959.0,4249412
2021-05-12,1949.08,1999.0,1949.0,1984.0,1984.0,3269887
2021-05-13,1965.75,1985.05,1953.0,1971.5,1971.5,2507751
2021-05-14,1982.0,2030.5,1976.0,2009.85,2009.85,3561129
2021-05-17,2025.1,2085.2,2025.1,2057.96,2057.96,4452400
2021-05-18,2065.0,2077.0,2045.06,2059.31,2059.31,1750428
2021-05-19,2059.0,2074.81,2040.0,2049.0,2049.0,2240972
2021-05-20,2074.0,2074.1,2045.36,2058.88,2058.88,2185716
2021-05-21,2055.08,2079.88,2037.02,2042.1,2042.1,2424823
2021-05-24,2051.0,2080.06,2031.0,2071.29,2071.29,3254808
2021-05-25,2085.0,2200.1,2085.0,2194.5,2194.5,6775695
2021-05-26,2207.98,2241.8,2193.08,2220.0,2220.0,3860420
2021-05-27,2211.02,2320.0,2201.1,2245.0,2245.0,4537338
2021-05-28,2240.97,2250.0,2205.51,2230.0,2230.0,2580731
2021-05-31,2215.5,2218.35,2172.0,2218.0,2218.0,3173900
2021-06-01,2222.0,2248.95,2206.0,2240.95,2240.95,3061634
2021-06-02,2250.0,2264.0,2208.18,2222.0,2222.0,2286277
2021-06-03,2220.0,2260.34,2210.08,2222.22,2222.22,2345031
2021-06-04,2215.0,2288.0,2214.04,2251.5,2251.5,3142219
2021-06-07,2265.0,2279.0,2240.01,2271.0,2271.0,2546627
2021-06-08,2260.0,2279.99,2161.15,2191.0,2191.0,4731363
2021-06-09,2192.0,2214.0,2160.11,2199.5,2199.5,2550235
2021-06-10,2195.0,2251.37,2190.08,2238.48,2238.48,2556663
2021-06-11,2239.0,2244.0,2178.81,2178.81,2178.81,3397066
2021-06-15,2195.1,2208.88,2148.0,2193.0,2193.0,2936130
2021-06-16,2192.0,2195.0,2148.0,2158.0,2158.0,2759315
2021-06-17,2155.65,2188.0,2144.36,2156.91,2156.91,2106753
2021-06-18,2147.0,2156.5,2065.0,2090.94,2090.94,5402821
2021-06-21,2085.0,2099.69,2050.0,2081.64,2081.64,3548826
2021-06-22,2092.0,2098.0,2053.89,2074.97,2074.97,3322818
2021-06-23,2080.0,2083.0,2034.15,2038.0,2038.0,3707901
2021-06-24,2040.01,2080.0,2021.0,2068.05,2068.05,3147370
2021-06-25,2049.96,2109.0,2042.6,2092.0,2092.0,3587543
2021-06-28,2100.0,2118.0,2073.0,2103.01,2103.01,2745242
2021-06-29,2108.0,2115.0,2051.0,2062.0,2062.0,3303063
2021-06-30,2065.0,2074.0,2046.3,2056.7,2056.7,2191566
2021-07-01,2059.97,2110.0,2031.6,2105.0,2105.0,3370124
2021-07-02,2075.0,2075.0,2011.5,2013.0,2013.0,4627531
2021-07-05,2000.0,2019.88,1985.0,1994.0,1994.0,3442095
2021-07-06,1995.0,2014.0,1960.01,2012.9,2012.9,3528251
2021-07-07,2010.0,2028.88,1999.01,2004.0,2004.0,2812212
2021-07-08,2000.1,2004.0,1968.0,1985.0,1985.0,3551669
2021-07-09,1964.52,1985.91,1945.0,1972.11,1972.11,3090790
2021-07-12,1975.55,1998.78,1940.5,1961.0,1961.0,3901024
2021-07-13,1968.0,2005.5,1965.0,1982.9,1982.9,2992471
2021-07-14,1974.0,1974.5,1945.0,1962.0,1962.0,3077069
2021-07-15,1955.02,2013.0,1950.6,1997.99,1997.99,4219005
2021-07-16,1980.0,1996.6,1950.0,1955.9,1955.9,3540764
2021-07-19,1955.89,1986.0,1941.0,1975.0,1975.0,3005234
2021-07-20,1975.0,1988.93,1961.41,1980.0,1980.0,2347521
2021-07-21,1989.0,2006.0,1962.01,1969.0,1969.0,2978013
2021-07-22,1960.0,1973.9,1938.96,1940.01,1940.01,3909047
2021-07-23,1937.82,1937.82,1895.09,1900.0,1900.0,4758547
2021-07-26,1879.0,1879.0,1780.0,1804.11,1804.11,9861948
2021-07-27,1803.0,1810.0,1703.0,1712.89,1712.89,8657699
2021-07-28,1703.0,1788.2,1682.12,1768.9,1768.9,8536884
2021-07-29,1810.01,1823.0,1734.34,1749.79,1749.79,6386385
2021-07-30,1725.0,1725.0,1657.76,1678.99,1678.99,7773589
2021-08-02,1664.0,1755.98,1620.72,1755.0,1755.0,9740065
2021-08-03,1730.0,1768.99,1688.8,1749.3,1749.3,5437475
2021-08-04,1734.06,1760.0,1718.0,1724.0,1724.0,3817549
2021-08-05,1692.88,1745.0,1676.36,1699.0,1699.0,4805969
2021-08-06,1689.0,1694.01,1646.6,1671.0,1671.0,4568610
2021-08-09,1651.0,1709.0,1650.0,1693.8,1693.8,4769775
2021-08-10,1700.0,1802.88,1675.0,1799.0,1799.0,8328505
2021-08-11,1780.01,1785.01,1750.01,1750.5,1750.5,3866259
2021-08-12,1732.0,1749.0,1686.19,1690.0,1690.0,4755097
2021-08-13,1690.0,1713.0,1679.0,1700.04,1700.04,3790452
2021-08-16,1696.0,1713.6,1685.08,1699.2,1699.2,2805697
2021-08-17,1700.0,1700.0,1628.88,1635.0,1635.0,6120077
2021-08-18,1624.66,1642.99,1600.0,1620.0,1620.0,5997026
2021-08-19,1622.22,1643.2,1600.0,1619.97,1619.97,4129195
2021-08-20,1555.17,1597.55,1525.5,1548.0,1548.0,11454454
2021-08-23,1537.88,1599.0,1536.77,1570.19,1570.19,7159720
2021-08-24,1575.0,1642.55,1565.77,1625.18,1625.18,7259447
2021-08-25,1647.64,1680.87,1643.0,1665.02,1665.02,5423890
2021-08-26,1664.99,1664.99,1594.72,1595.0,1595.0,5402037
2021-08-27,1589.0,1625.0,1584.1,1596.03,1596.03,3609545
2021-08-30,1605.0,1613.0,1545.95,1586.0,1586.0,5158770
