企业名称,标题,URL,发布时间,来源,正文
交通银行,高股息精选概念下跌0.38%，10股主力资金净流出超亿元,http://finance.eastmoney.com/a/202512083585408477.html,2025-12-08 18:00:16,证券时报网,0.72 0.99 3287.30 600057 厦门象屿 1.79 3.09 3301.38 002736 国信证券 2.74 0.71 3472.12 600019 宝钢股份 -2.05 0.54 3775.64 601169 北京银行 0.72 0.70 3906.22 601328
交通银行,融入民营经济发展脉络，解构交通银行的四重角色,http://finance.eastmoney.com/a/202512083585562119.html,2025-12-08 21:41:55,每日经济新闻,作为国有大行，交通银行积极发挥主力军作用，基于全牌照优势开展了一系列创新举措与扎实行动，深度融入民营经济的发展脉络，用实际行动诠释了金融与民营经济共生共荣。 助企纾困解难题，支持民营小微的“破局者” 在众多民营小微企业的成长道路上，资金问题始终是绕不开的“拦路虎”。
交通银行,年内139家公司实施定增 合计募资8536.87亿元,http://finance.eastmoney.com/a/202512093586131317.html,2025-12-09 09:28:14,证券时报网,今年以来定增募资金额排名 代码 简称 募资金额（亿元） 行业 代码 简称 募资金额（亿元） 行业 601988 中国银行 1650.00 银行 600027 华电国际 68.56 公用事业 601658 邮储银行 1300.00 银行 688126 沪硅产业 67.16 电子 601328
交通银行,银行ETF指数(512730)红盘向上，工行、农行中期分红762亿,http://finance.eastmoney.com/a/202512093586380589.html,2025-12-09 13:27:44,界面新闻,数据显示，截至2025年11月28日，中证银行指数(399986)前十大权重股分别为招商银行(600036)、兴业银行(601166)、工商银行(601398)、农业银行(601288)、交通银行(601328)、江苏银行(600919)、浦发银行(600000)、平安银行(000001
交通银行,银行行业资金流入榜：农业银行等5股净流入资金超5000万元,http://finance.eastmoney.com/a/202512093586550742.html,2025-12-09 17:31:33,证券时报网,今日换手率（%） 主力资金流量（万元） 601288 农业银行 2.55 0.10 24307.83 600926 杭州银行 -0.06 0.63 10128.05 601398 工商银行 1.38 0.10 8196.54 600000 浦发银行 -0.61 0.18 7411.27 601328
交通银行,银行行业资金流出榜：招商银行、农业银行等净流出资金居前,http://finance.eastmoney.com/a/202512103587733694.html,2025-12-10 17:00:33,证券时报网,0.23 -13362.46 600919 江苏银行 -1.24 0.59 -9875.19 601169 北京银行 -0.90 0.56 -9643.35 601838 成都银行 -1.31 0.81 -6522.44 601166 兴业银行 -1.79 0.34 -6492.00 601328
交通银行,银行行业资金流入榜：浦发银行、交通银行等净流入资金居前,http://finance.eastmoney.com/a/202512113588963786.html,2025-12-11 17:20:22,证券时报网,银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600000 浦发银行 1.42 0.32 11858.39 601328 交通银行 0.68 0.45 8099.11 601009 南京银行 -0.70 0.42 6781.12 601288
交通银行,交通银行注册资本增至883.64亿元 获国家金融监管总局同意,http://finance.eastmoney.com/a/202512113588970612.html,2025-12-11 17:31:05,财中社,12月11日，交通银行（601328/03328）发布公告，交通银行完成向特定对象发行141.01亿股A股股票后，已向国家金融监督管理总局申请变更注册资本。
交通银行,交通银行获批增加注册资本141.01亿元,http://finance.eastmoney.com/a/202512113589056491.html,2025-12-11 19:10:36,北京商报,近日，交通银行收到《国家金融监督管理总局关于交通银行变更注册资本的批复》，国家金融监督管理总局同意该行注册资本增加141.01亿元人民币，由742.63亿元人民币变更为883.64亿元人民币。该行根据批复修订了公司章程相应条款，随后将办理注册资本变更登记等相关手续。
交通银行,交通银行：唐朔因工作调动原因辞任公司业务总监职务,http://finance.eastmoney.com/a/202512153591769357.html,2025-12-15 17:05:53,界面新闻,交通银行12月15日公告，唐朔因工作调动原因，申请辞去公司业务总监（公司与机构业务）职务，辞任自2025年12月15日起生效。
交通银行,交通银行：高管唐朔因工作调动原因辞去业务总监职务,http://finance.eastmoney.com/a/202512153591770916.html,2025-12-15 17:09:20,每日经济新闻,每经AI快讯，12月15日，交通银行(601328.SH)公告称，唐朔因工作调动原因，已向公司董事会提交书面报告，辞去业务总监（公司与机构业务）职务，自2025年12月15日起生效。
交通银行,交通银行：业务总监唐朔因工作调动辞职,http://finance.eastmoney.com/a/202512153591772297.html,2025-12-15 17:09:29,财中社,交通银行（601328/03328）发布公告，唐朔因工作调动原因，辞去本行业务总监（公司与机构业务）职务，辞任自2025年12月15日起生效。
交通银行,因工作调动，交通银行业务总监唐朔辞职,http://finance.eastmoney.com/a/202512153591793950.html,2025-12-15 17:35:29,北京商报,公告显示，唐朔于2001年加入交通银行，在该行连续服务24年，曾任交通银行北京市分行行长，广东省分行行长，江西省分行行长、副行长（代为履行行长职责），北京市分行副行长、行长助理，总行公司机构业务部（投资银行部）副总经理等职务。
交通银行,唐朔辞任交通银行业务总监 履新建设银行党委委员,http://finance.eastmoney.com/a/202512153591908489.html,2025-12-15 19:58:02,上海证券报·中国证券网,上证报中国证券网讯（记者马慜）12月15日，交通银行公告称，唐朔因工作调动原因，今日已向该行董事会提交书面报告，辞去交通银行业务总监（公司与机构业务）职务。
交通银行,交通银行大宗交易成交68.00万股 成交额498.44万元,http://finance.eastmoney.com/a/202512153592058216.html,2025-12-15 22:38:09,证券时报网,证券时报·数据宝统计显示，交通银行今日收盘价为7.33元，下跌0.27%，日换手率为0.38%，成交额为7.29亿元，全天主力资金净流入5224.45万元，近5日该股累计下跌1.74%，近5日资金合计净流入1.42亿元。
交通银行,两大行共发近千亿现金红利，多家银行“红包”正在路上,http://finance.eastmoney.com/a/202512153592085178.html,2025-12-15 23:29:53,每日经济新闻,交通银行（SH601328）近日公告称，将每股派发现金股息0.1563元（含税），其中A股派息日预计为2025年12月25日（星期四），共分配现金股利138.11亿元。 从分红数额来看，六大行合计已实施或拟实施现金分红超2000亿元，是各类上市银行中绝对的主力军。
交通银行,今年以来142家公司完成定增 募资总额8544.99亿元,http://finance.eastmoney.com/a/202512163592753364.html,2025-12-16 09:52:01,证券时报网,今年以来定增募资金额排名 代码 简称 募资金额（亿元） 行业 代码 简称 募资金额（亿元） 行业 601988 中国银行 1650.00 银行 600027 华电国际 68.56 公用事业 601658 邮储银行 1300.00 银行 688126 沪硅产业 67.16 电子 601328
交通银行,交通银行一高管因工作调动辞任！3个月前刚升任业务总监,http://finance.eastmoney.com/a/202512163592832079.html,2025-12-16 11:21:13,南方都市报,交通银行董事会在公告中表示。 值得一提的是，今年8月份，唐朔刚刚被提拔为业务总监。据交通银行8月29日发布的公告，公司董事会会议同意聘任唐朔为业务总监（公司与机构业务）。这意味着，唐朔在业务总监（公司与机构业务）位置上仅任职3个多月。
交通银行,强势股追踪 主力资金连续5日净流入80股,http://finance.eastmoney.com/a/202512173594334019.html,2025-12-17 17:40:52,证券时报网,美年健康 6 6.51 19.28 7.89 000001 平安银行 5 4.40 8.73 1.77 002352 顺丰控股 6 3.75 7.17 1.12 601077 渝农商行 6 2.87 10.45 -3.25 301018 申菱环境 8 2.44 4.76 14.54 601328
交通银行,交通银行大宗交易成交135.85万股 成交额999.86万元,http://finance.eastmoney.com/a/202512173594464926.html,2025-12-17 21:04:05,证券时报网,证券时报·数据宝统计显示，交通银行今日收盘价为7.31元，上涨0.55%，日换手率为0.48%，成交额为9.23亿元，全天主力资金净流入4726.32万元，近5日该股累计平盘报收，近5日资金合计净流入2.42亿元。
交通银行,银行板块兼具“估值修复+红利收益”双重逻辑，银行ETF指数(512730)午后涨超1%,http://finance.eastmoney.com/a/202512183595328345.html,2025-12-18 14:13:09,界面新闻,数据显示，截至2025年11月28日，中证银行指数(399986)前十大权重股分别为招商银行(600036)、兴业银行(601166)、工商银行(601398)、农业银行(601288)、交通银行(601328)、江苏银行(600919)、浦发银行(600000)、平安银行(000001
交通银行,交通银行为海南自贸港迈向高水平开放搭建“金融桥梁”,http://finance.eastmoney.com/a/202512183595462648.html,2025-12-18 16:15:51,新华网,交通银行同步发布《交通银行服务海南自贸港跨境金融服务方案》。这是百年交行融入国家战略，与海南自贸港建设同频共振、并肩前行的切实行动。
交通银行,强势股追踪 主力资金连续5日净流入87股,http://finance.eastmoney.com/a/202512183595499558.html,2025-12-18 16:43:58,证券时报网,主力资金净流入比例（%） 累计涨跌幅（%） 002044 美年健康 7 10.66 16.26 18.74 000001 平安银行 6 4.81 8.07 2.74 688031 星环科技-U 5 4.42 6.35 48.66 002352 顺丰控股 7 4.33 7.12 1.81 601328
交通银行,银行行业资金流入榜：兴业银行、农业银行等净流入资金居前,http://finance.eastmoney.com/a/202512183595500179.html,2025-12-18 16:44:15,证券时报网,（数据宝） 银行行业资金流向排名 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 601166 兴业银行 2.25 0.32 15719.32 601288 农业银行 2.01 0.09 13665.06 601328 交通银行 2.05 0.44 11649.82
交通银行,交通银行鞍山分行被罚30万，副行长被警告,http://finance.eastmoney.com/a/202512183595592127.html,2025-12-18 18:28:29,蓝鲸新闻,蓝鲸新闻12月18日讯，近日，国家金融监督管理总局鞍山监管分局发布了罚单，剑指交通银行股份有限公司鞍山分行及其相关责任人。 罚单显示，交通银行股份有限公司鞍山分行的主要违法违规事实（案由）为：违规发放个人商铺贷款。
交通银行,交通银行发布《交通银行服务海南自贸港跨境金融服务方案》,http://finance.eastmoney.com/a/202512183595621753.html,2025-12-18 19:12:01,证券日报,12月18日，海南自贸港正式迎来全岛封关运作的历史性时刻，交通银行同步发布《交通银行服务海南自贸港跨境金融服务方案》。 自2020年起，交通银行已连续五年出台金融支持海南自贸港发展的专项服务方案，紧密对标海南自贸港建设的核心任务。
交通银行,交通银行发布服务海南自贸港跨境金融服务方案,http://finance.eastmoney.com/a/202512183595760471.html,2025-12-18 19:36:45,中国证券报·中证网,当日，交通银行同步发布《交通银行服务海南自贸港跨境金融服务方案》。 自2020年起，交通银行已连续五年出台金融支持海南自贸港发展的专项服务方案，内容涵盖产业导向、政策研判到创新路径，紧密对标海南自贸港建设的核心任务，切实将国家战略部署转化为推动高质量发展的行动蓝图。
交通银行,交通银行总行业务总监涂宏：内外协同打造科技创新“耐心资本”,http://finance.eastmoney.com/a/202512183595756198.html,2025-12-18 19:58:06,上海证券报·中国证券网,上证报中国证券网讯（张玮华记者毛佳慧）12月14日，在“金融强国RUCtime”之浦江金融论坛上，交通银行总行业务总监（首席投资官）涂宏表示，科技创新离不开金融深度赋能，商业银行凭借规模优势、全生命周期产品供给，已成为科技金融创新的“主阵地”；面向“十五五”，需通过外部制度变革与内部机制创新双轮驱动
交通银行,交通银行将于12月25日派发现金红利138.11亿元,http://finance.eastmoney.com/a/202512183595812878.html,2025-12-18 22:39:38,上海证券报·中国证券网,上证报中国证券网讯12月18日，交通银行公告称，该行将于12月25日发放现金红利，股权登记日为12月24日。根据利润分配方案，每股派发现金红利0.1563元（含税），共计派发现金红利138.11亿元（含税）。其中派发A股现金红利83.39亿元（含税）。
交通银行,央行对交通银行罚没6800万元 包含11项违法行为类型,http://finance.eastmoney.com/a/202512193596892123.html,2025-12-19 18:43:37,南方财经网,南方财经12月19日电，根据中国人民银行行政处罚公示，交通银行股份有限公司被处以警告，没收违法所得23.98万元，罚款6783.43万元。
交通银行,央行对交通银行罚没6800万元 包含11项违法行为类型,http://finance.eastmoney.com/a/202512193596890032.html,2025-12-19 18:48:41,第一财经,根据中国人民银行行政处罚公示，交通银行股份有限公司被处以警告，没收违法所得23.98万元，罚款6783.43万元。
交通银行,因违反账户管理规定等 交通银行被处以罚款6783.43万元,http://finance.eastmoney.com/a/202512193596917247.html,2025-12-19 19:19:10,上海证券报·中国证券网,上证报中国证券网讯（记者马慜）12月19日，中国人民银行官网披露的行政处罚信息显示，交通银行被处以警告，同时被没收违法所得23.982116万元，罚款6783.43万元。此外，13名责任人一同被处罚。
交通银行,交通银行回应遭央行处罚6783.43万元,http://finance.eastmoney.com/a/202512193597037111.html,2025-12-19 21:52:15,人民财讯,人民财讯12月19日电，12月19日，中国人民银行发布行政处罚信息显示，交通银行因违反账户管理规定等被处以警告，同时被没收违法所得23.982116万元，罚款6783.43万元。 交通银行对此回应称，2022年11月至2023年4月，中国人民银行对交通银行开展综合执法检查。
交通银行,金融引擎启动：银行业助力海南自贸港封关运作,http://finance.eastmoney.com/a/202512203597207621.html,2025-12-20 02:26:56,中国经营网,作为EF账户首批试点银行，交通银行（601328.SH）海南省分行持续深耕跨境金融领域。截至2025年10月末，其EF业务规模已突破460亿元，位居全省国有大行首位。
交通银行,交通银行被罚6783.43万，涉多项违规行为,http://finance.eastmoney.com/a/202512203597472725.html,2025-12-20 15:39:15,蓝鲸新闻,蓝鲸新闻12月20日讯，近日，中国人民银行开出罚单，剑指交通银行股份有限公司及其相关责任人。
交通银行,交通银行违反多项规定 被罚没超6800万元,http://finance.eastmoney.com/a/202512213597626627.html,2025-12-21 21:34:16,财中社,12月19日，根据中国人民银行发布的公告，交通银行股份有限公司及其部分员工因多项违法行为受到行政处罚。 交通银行股份有限公司被指控违反了账户管理规定、清算管理规定、特约商户实名制管理规定、反假货币业务管理规定等多项规定。
交通银行,4.48亿元主力资金今日撤离银行板块,http://finance.eastmoney.com/a/202512223598401511.html,2025-12-22 18:09:54,证券时报网,0.59 -3780.18 601665 齐鲁银行 -1.92 0.82 -3503.84 600036 招商银行 -0.52 0.25 -1929.90 002966 苏州银行 -1.66 0.72 -1811.29 601838 成都银行 -0.66 0.47 -1602.18 601328
交通银行,中国银行、建设银行、工商银行、农业银行、交通银行、邮储银行，集体调整！,http://finance.eastmoney.com/a/202512233599328834.html,2025-12-23 11:45:42,每日经济新闻,近期，临近年末，市民们的投资储蓄需求增加，但是部分市民发现，市场上的中长期存款产品有所减少。这是怎么回事？ 最近，家住北京朝阳的万女士拿到年终奖，计划配置5年期大额存单，但是查询多家银行也没有选到合适产品。 据央视财经，记者查询工、农、中、建、交、邮储六大国有银行的App发现
交通银行,跨行提拔！建设银行聘任一副行长，此前任交通银行业务总监,http://finance.eastmoney.com/a/202512243600582396.html,2025-12-24 12:49:38,南方都市报,其中，2025年10月至2025年12月任交通银行业务总监（公司与机构业务）；2021年3月至2025年12月先后任交通银行广东省分行行长、北京市分行行长；2018年7月至2021年3月先后任交通银行江西省分行副行长、行长；2016年4月至2018年7月先后任交通银行北京市分行行长助理
交通银行,比“大基金”更猛：万亿元创投引导基金提速,http://finance.eastmoney.com/a/202512243600619419.html,2025-12-24 13:35:13,财中社,2024年5月，大基金三期在工商银行（601398.SH）、农业银行（601288.SH）、中国银行（601988.SH）、建设银行（601939.SH）、交通银行（601328.SH）、邮储银行（601658.SH）“六大行”的主导下成立，注册资本3440亿元，其中六大行合计出资
交通银行,A股午后涨幅扩大：商业航天概念股再度爆发，4125股收涨,http://finance.eastmoney.com/a/202512243600683478.html,2025-12-24 15:35:34,澎湃新闻,银行股逆市下挫，邮储银行（601658）、常熟银行（601128）、宁波银行（002142）、瑞丰银行（601528）、交通银行（601328）等跌幅靠前。
交通银行,今年以来定增累计募资8576.86亿元,http://finance.eastmoney.com/a/202512253601741675.html,2025-12-25 11:37:27,证券时报网,今年以来定增募资金额排名 代码 简称 募资金额（亿元） 行业 代码 简称 募资金额（亿元） 行业 601988 中国银行 1650.00 银行 600027 华电国际 68.56 公用事业 601658 邮储银行 1300.00 银行 688126 沪硅产业 67.16 电子 601328
交通银行,交通银行：第十一届董事会第四次会议决议公告,http://finance.eastmoney.com/a/202512263603129767.html,2025-12-26 18:36:24,证券日报,证券日报网讯 12月26日，交通银行发布公告称，交通银行第十一届董事会第四次会议审议通过《关于修订的议案》《关于的议案》《关于的议案》等多项议案。
交通银行,降息传导效应显现 银行下调美元存款利率,http://finance.eastmoney.com/a/202512273603333423.html,2025-12-27 02:32:36,中国经营网,2025年12月23日，兴业银行（601166.SH）北京地区美元定存的利率显示：10美元起存1年期、2年期产品利率在2.7%～2.8%，1个月期的产品利率为2.1%～2.3%；同日，交通银行（601328.SH）公布的美元存款1年期最高可执行年利率为2.8%。
交通银行,交通银行副行长钱斌：将加强基础设施建设作为推动AI应用的先手棋和关键支撑,http://finance.eastmoney.com/a/202512283603750636.html,2025-12-28 17:55:55,上海证券报·中国证券网,上证报中国证券网讯（记者张琼斯）交通银行副行长、首席信息官钱斌12月28日在中国财富管理50人论坛2025年会“AI+金融”峰会上表示，AI的技术变革正在打开数字金融服务的新纪元，要立足金融服务实体经济的主责主业，全面实施“人工智能+”行动，着重从“技术筑基、应用领航、模式创新”三个方向进行发力
交通银行,交通银行副行长、首席信息官钱斌：AI将从根本上重塑金融运行逻辑和发展范式,http://finance.eastmoney.com/a/202512283603754423.html,2025-12-28 18:32:47,证券日报,本报讯 （记者熊悦）在12月28日举办的国民财富发展研究合作平台第三届“AI+金融”峰会上，交通银行副行长、首席信息官钱斌表示，今年以来，AI技术在金融业渗透的速度和深度前所未有，不仅全方位提升金融服务效能和水平，也将从根本上重塑金融运行逻辑与发展范式。
交通银行,跨境支付(CIPS)概念涨1.57%，主力资金净流入这些股,http://finance.eastmoney.com/a/202512293604500346.html,2025-12-29 17:26:27,证券时报网,300348 长亮科技 3.63 6.76 8933.30 12.65 300339 润和软件 3.02 6.50 8428.19 3.27 300468 四方精创 6.30 20.14 7525.95 1.84 002987 京北方 1.91 4.80 5924.53 7.10 601328
交通银行,今日64只股长线走稳 站上年线,http://finance.eastmoney.com/a/202512293604500644.html,2025-12-29 17:26:39,证券时报网,3.40 7.59 8.02 8.20 2.24 600862 中航高科 4.87 5.96 23.81 24.31 2.11 301591 肯特股份 2.17 6.15 40.17 41.00 2.07 600810 神马股份 4.26 5.17 8.87 9.05 2.02 601328
交通银行,专访交通银行私人银行部总经理金旗：坚持公开透明做好慈善金融,http://finance.eastmoney.com/a/202512303605776930.html,2025-12-30 17:35:53,证券日报,日前，记者在交通银行股份有限公司（以下简称“交通银行”）“蓝气球公益·财富向善”发布会上获悉，2025年以来，该行慈善信托发展速度明显加快，年内新设立近30单慈善金融产品，吸引2300余名客户参与。
交通银行,交通银行：2026年1月28日派发中期股息0.1563元/股,http://finance.eastmoney.com/a/202512303605809034.html,2025-12-30 18:16:54,南方财经网,南财智讯12月30日电，交通银行（03328.HK）公告，公司建议派发截至2025年6月30日止六个月之中期股息，每股派发现金红利0.1563元（每10股派1.563元人民币）。
交通银行,交通银行：1月派发中期股息0.1563元/股,http://finance.eastmoney.com/a/202512303605813179.html,2025-12-30 18:29:01,南方财经网,南财智讯12月30日电，交通银行（03328.HK）公告，公司将派发2025年中期现金股息每10股人民币1.563元（含税），即每股中期股息0.1563元。H股股东可选择以人民币或港元收取股息，其中香港中央结算（代理人）有限公司可选择全部或部分以人民币收取。
交通银行,年内定增募资排行榜：10家公司募资超百亿元,http://finance.eastmoney.com/a/202512313606750232.html,2025-12-31 10:33:31,证券时报网,今年以来定增募资金额排名 代码 简称 募资金额（亿元） 行业 代码 简称 募资金额（亿元） 行业 601988 中国银行 1650.00 银行 600886 国投电力 70.00 公用事业 601658 邮储银行 1300.00 银行 301297 富乐德 69.73 电子 601328
交通银行,交通银行：自2026年1月1日起 将为数字人民币实名钱包计付利息,http://finance.eastmoney.com/a/202512313606785967.html,2025-12-31 11:34:08,上海证券报·中国证券网,上证报中国证券网讯（记者马慜）12月31日，交通银行在官网发布关于数字人民币计付利息的公告称，自2026年1月1日起，交通银行将为客户开立在交行的数字人民币实名钱包（包含一类、二类、三类个人钱包和单位钱包）余额，按照交行公布的活期存款挂牌利率计付利息。
交通银行,交通银行将给数字人民币计付利息,http://finance.eastmoney.com/a/202512313606862421.html,2025-12-31 13:57:41,新华财经,新华财经上海12月31日电（记者王淑娟）31日，交通银行发布关于数字人民币计付利息的公告称，自2026年1月1日起，交通银行将为客户开立在交行的数字人民币实名钱包（包含一类、二类、三类个人钱包和单位钱包）余额，按照交行公布的活期存款挂牌利率计付利息。
交通银行,2025年A股银行股超八成上涨：农行涨超50%居榜首，7只下跌,http://finance.eastmoney.com/a/202512313607135529.html,2025-12-31 19:59:59,界面新闻,其余五大行中，工商银行涨21.54%，建设银行涨12.87%，中国银行涨10.75%，邮储银行（601658.SH）微涨0.67%，交通银行（601328.SH）微涨0.37%。 股份行方面，浦发银行（600000.SH）涨幅居前，全年上行24.56%。
交通银行,交通银行：刘瑞霞独立董事任职资格获核准,http://finance.eastmoney.com/a/202601043607890785.html,2026-01-04 16:14:26,财中社,1月4日，交通银行（601328/03328）发布公告，刘瑞霞的独立董事任职资格已获国家金融监督管理总局核准生效。根据公告，刘瑞霞将担任董事会风险管理与关联交易控制委员会委员、人事薪酬委员会委员。
交通银行,交通银行太仓分行被罚35万，副行长被罚7万,http://finance.eastmoney.com/a/202601053608632398.html,2026-01-05 13:04:02,蓝鲸新闻,蓝鲸新闻1月5日讯，近日，国家金融监督管理总局苏州监管分局发布了罚单，剑指交通银行股份有限公司太仓分行及其相关责任人。 罚单显示，交通银行股份有限公司太仓分行的主要违法违规事实（案由）为：流动资金贷款“三查”不到位。
交通银行,银行行业资金流出榜：招商银行、农业银行等净流出资金居前,http://finance.eastmoney.com/a/202601053608884067.html,2026-01-05 17:17:22,证券时报网,主力资金流量（万元） 600036 招商银行 0.59 0.41 -29415.63 601288 农业银行 -1.43 0.10 -21395.95 601398 工商银行 -1.39 0.16 -21304.79 600016 民生银行 0.52 0.62 -7280.92 601328
交通银行,交通银行增资至883.6亿元，增幅约19%,http://finance.eastmoney.com/a/202601063609982875.html,2026-01-06 12:10:52,界面新闻,天眼查工商信息显示，2025年12月31日，交通银行（601328）发生工商变更，注册资本由约742.6亿人民币增至约883.6亿人民币，增幅约19%。
交通银行,交通银行增资至883.6亿,http://finance.eastmoney.com/a/202601063609991271.html,2026-01-06 12:46:47,南方财经网,南方财经1月6日电，天眼查工商信息显示，近日，交通银行（601328）发生工商变更，注册资本由约742.6亿人民币增至约883.6亿人民币，增幅约19%。
交通银行,因贷款业务存多项违规，交通银行陕西省分行被罚253万元,http://finance.eastmoney.com/a/202601063610324553.html,2026-01-06 18:36:58,北京商报,北京商报讯1月6日，国家金融监督管理总局陕西监管局公布的行政处罚信息公示表显示，交通银行股份有限公司陕西省分行因“发放固定资产贷款不审慎、银行承兑汇票授信后管理不到位、超过借款人实际需求发放流动资金贷款、项目贷款贷后管理不到位”违法违规行为，被罚款253万元；监管机构对相关责任人员牛博
