企业,日期,来源,内容
交通银行,2025-03-21,巨潮资讯,交通银行股份有限公司（股份代号：03328）于2025年3月21日发布通告，将于2025年4月8日上午九时三十分在上海举行临时股东大会，审议并酌情批准2024年度财务决算报告及2024年度利润分配方案。H股股份过户登记将于2025年4月4日至4月8日暂停。
交通银行,2025-03-21,巨潮资讯,交通银行（股份代号：03328）拟于2025年4月8日（星期二）上午九时三十分在上海举行临时股东大会，审议并酌情通过2024年度财务决算报告和2024年度利润分配方案。该行已发布相关代表委任表格，供H股股东委任代表出席并投票。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日召开第十届董事会第二十一次会议，审议通过了2024年度董事会工作报告、行长工作报告、年度报告、财务决算报告、利润分配方案及社会责任报告等多项议案，所有议案均以18票全票通过。会议同意聘任杨涛为副行长，其任职需待监管核准。此外，会议批准了2025年度经营计划、固定资产投资计划及境外投资计划等事项。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日召开第十届监事会第十二次会议，以现场和视频方式在上海、南京、新加坡举行，应到监事7人，实到7人。会议审议通过推举林至红监事为监事会会议召集和主持人、推举颇颖监事为监事会提名委员会会议召集和主持人，以及2024年度报告及业绩公告、财务决算报告、利润分配方案、监事会工作报告等多项议案，同意将相关议案提交股东大会审议。此外，会议还通过了2024年度履职评价、内部控制、社会责任等相关报告，所有议案均全票通过。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，根据香港联合交易所有限公司证券上市规则第13.10B条，载列其于上海证券交易所网站刊登的《交通银行股份有限公司2024年度报告》，以供参阅。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布2024年度报告摘要。数据显示，2024年集团实现营业收入2598.26亿元，同比增长0.87%；归属于母公司股东净利润935.86亿元，同比增长0.93%。资产总额14.90万亿元，同比增长5.98%；不良贷款率1.31%，下降0.02个百分点；拨备覆盖率201.94%，上升6.73个百分点。董事会提议每股派发现金股利0.197元，合计146.30亿元。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日公告，拟续聘毕马威华振和毕马威香港为2025年度会计师事务所，负责财务报表审计、内部控制审计及相关专业服务。2025年度审计费用为4270万元，较上一年增加260万元，同比增加6%。该议案已获董事会审议通过，尚需提交2024年度股东大会审议。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，披露2024年度独立董事述职报告。报告显示，2024年独立董事依法履职，共出席股东大会3次、董事会9次、专门委员会25次，审议通过定期业绩报告、利润分配、关联交易、内部控制评价、聘任会计师事务所、董事高管任免及薪酬等议案，并发表独立意见，切实维护公司和股东合法权益。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，载列其在上海证券交易所刊登的《2024年度财务报表及审计报告》。毕马威华振会计师事务所出具无保留意见审计报告，认为该行财务报表在所有重大方面按照企业会计准则编制，公允反映了截至2024年12月31日的合并及公司财务状况、年度经营成果和现金流量。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，载列了其在上海证券交易所刊登的2024年度非经营性资金占用及其他关联资金往来情况专项说明。公告内容显示，毕马威华振会计师事务所对交通银行2024年度财务报表进行了审计，出具了无保留意见审计报告，并核查了相关汇总表，未发现重大不一致。该公告是为遵守香港联交所上市规则第13.10B条而作出。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，载列其2024年度内部控制评价报告。报告显示，截至2024年12月31日，公司未发现财务报告内部控制重大缺陷，财务报告内部控制有效；亦未发现非财务报告内部控制重大缺陷。评价范围覆盖公司本部、境内外分支机构及附属子公司，涵盖公司信贷、普惠金融、零售信贷等主要业务及高风险领域。公司董事会对报告内容的真实性、准确性、完整性承担责任。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，披露其在上海证券交易所刊登的《交通银行股份有限公司2024年12月31日内部控制审计报告》。该报告由毕马威华振会计师事务所出具，对交通银行2024年12月31日的财务报告内部控制有效性进行了审计，并说明了内部控制的责任、审计责任及固有局限性。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，披露其对会计师事务所2024年度履职情况的评估报告。报告显示，交通银行聘任毕马威华振会计师事务所及毕马威会计师事务所担任2024年度审计机构，负责财务报表审计、内部控制审计及相关专业服务。经评估，毕马威在2024年度能够按照监管要求和审计准则提供审计服务，未受到金融监管部门行政处罚，也未收到股东负面评价。
交通银行,2025-03-21,巨潮资讯,交通银行董事会审计委员会发布2024年度履职情况报告，全年召开5次会议，审议定期业绩报告、财务决算、利润分配方案、固定资产投资计划、审计架构改革方案等35项议案。委员会审核了财务信息及披露，健全内部审计体制机制，加强外部审计机构聘用管理，评估内部控制有效性，并围绕战略实施、经营管理和审计等主题开展调研。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，披露董事会关于独立董事独立性自查情况的专项报告。经核查，在任独立董事石磊、张向东、李晓慧、马骏、王天泽、肖伟未在公司担任其他职务，与公司及主要股东不存在影响独立客观判断的关系，符合相关法规及公司章程要求。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日召开董事会，审议通过《估值提升计划暨“提质增效重回报”行动方案》。方案内容包括服务实体经济、推进科技金融等“五篇大文章”、发挥上海主场优势、守牢风险底线、稳定现金分红（计划未来三年每年现金分红不少于净利润30%，并适时实施一年多次分红）、密切投资者沟通、优化信息披露等。方案仅为行动计划，不构成对业绩或股价的承诺。
交通银行,2025-03-21,巨潮资讯,交通银行于2025年3月21日发布海外监管公告，披露董事会审计委员会对毕马威华振会计师事务所和毕马威会计师事务所2024年度外部审计工作的监督情况。审计委员会查阅了事务所的专业胜任能力、独立性等资料，审议续聘议案，并就审计范围、计划、发现及年报审计工作进行沟通，对服务质量表示满意。
交通银行,2025-03-22,巨潮资讯,交通银行于2025年3月21日发布2024年度非经营性资金占用及其他关联资金往来情况的专项说明，由毕马威华振会计师事务所审计。审计报告显示，该行编制的汇总表与经审计财务报表核对后，在所有重大方面未发现不一致。
交通银行,2025-03-22,巨潮资讯,交通银行于2025年3月21日召开董事会，审议通过《估值提升计划暨“提质增效重回报”行动方案》。该方案包括：服务实体经济、推进科技金融等“五篇大文章”、发挥上海主场优势、守牢风险底线、稳定现金分红（计划未来三年现金分红不少于净利润30%，适时实施一年多次分红）、密切投资者沟通及优化信息披露。公司2024年A股股价上涨42.16%，但仍低于每股净资产。
交通银行,2025-03-22,巨潮资讯,交通银行于2025年3月22日发布截至2024年12月31日止年度的财务报表及审计报告，由毕马威华振会计师事务所审计。审计意见认为，该财务报表在所有重大方面按照企业会计准则编制，公允反映了交通银行2024年末的合并财务状况、经营成果及现金流量。审计报告重点关注了发放贷款和垫款、以摊余成本计量的金融投资及信贷承诺等的预期信用损失计量。
