企业名称,标题,URL,发布时间,来源,摘要,正文
交通银行,交通银行大宗交易成交500.00万股 成交额3475.00万元,https://stcn.com/article/detail/1470781.html,2024-12-27 20:36,数据宝,交通银行 大宗交易成交500.00万股 成交额3475.00万元 交通银行 12月27日大宗交易平台出现一笔成交，成交量500.00万股，成交金额3475.00万元，大宗交易成交价为6.95元，相对今日收盘价折价9.86%。该笔交易的买方营业部为光大证券股份有限公司重庆金昌路证券营业部，卖方... 交通银行 数据宝,交通银行12月27日大宗交易平台出现一笔成交，成交量500.00万股，成交金额3475.00万元，大宗交易成交价为6.95元，相对今日收盘价折价9.86%。该笔交易的买方营业部为光大证券股份有限公司重庆金昌路证券营业部，卖方营业部为光大证券股份有限公司重庆金昌路证券营业部。 进一步统计，近3个月内该股累计发生7笔大宗交易，合计成交金额为3.71亿元。 证券时报•数据宝统计显示，交通银行今日收盘价为7.71元，上涨0.13%，日换手率为0.36%，成交额为10.71亿元，全天主力资金净流出6869.08万元，近5日该股累计上涨2.80%，近5日资金合计净流入3.13亿元。 两融数据显示，该股最新融资余额为10.86亿元，近5日减少1421.92万元，降幅为1.29%。（数据宝） 12月27日交通银行大宗交易一览 成交量 （万股） 成交金额 （万元） 成交价格 （元） 相对当日 收盘折溢价 （%） 买方营业部 卖方营业部 500.00 3475.00 6.95 -9.86 光大证券股份有限公司重庆金昌路证券营业部 光大证券股份有限公司重庆金昌路证券营业部 注：本文系新闻报道，不构成投资建议，股市有风险，投资需谨慎。
交通银行,交通银行深圳分行高效处理外籍人士疑难业务获好评,https://stcn.com/article/detail/1471219.html,2024-12-28 07:18,证券时报网,交通银行 深圳分行高效处理外籍人士疑难业务获好评 近日， 交通银行 深圳分行营业部成功为三位美国籍老年人办理已故存款人遗产提取事宜，以专业、高效的服务赢得了客户的高度赞誉。某天下午，临近营业结束的时候，三位美国籍老奶奶来到了 交通银行 深圳分行营业部，咨询... 证券时报网,近日，交通银行深圳分行营业部成功为三位美国籍老年人办理已故存款人遗产提取事宜，以专业、高效的服务赢得了客户的高度赞誉。 某天下午，临近营业结束的时候，三位美国籍老奶奶来到了交通银行深圳分行营业部，咨询已故存款人遗产提取事宜。工作人员了解到，由于相关文件均在美国办理，之前在其他银行办理业务遭遇了阻碍，被要求提供大使馆或领事馆的公证文件，这给她们带来了不小的困扰。当天，她们在商场看到交通银行深圳分行营业部的招牌后，抱着试一试的想法前来咨询。 交行工作人员在充分了解客户诉求后，迅速启动了核实程序。得益于中国加入海牙公约所带来的便利，相关文件无需再经大使馆转递，从而大大简化了业务流程。经过银行合规部门与网点的紧密协作，次日中午，这项业务便顺利办理完成。 老人们对交通银行深圳分行的专业服务和高效协作深表感激，她们在离开时留言表扬并深情拥抱工作人员，感慨道：“没有想到，一次简单咨询竟真的解决了我们的问题，衷心感谢诸位交通银行深圳分行的工作人员！” 银行网点是商业银行服务社会民生的窗口。此次外籍人士疑难问题的高效解决，是交通银行深圳分行提升专业服务能力，助力深圳更高水平对外开放的生动案例。 交通银行深圳分行将继续秉持“客户至上”的服务理念，不断优化服务流程，提升服务品质，为更多客户提供专业、高效的金融服务。 （CIS）
交通银行,交通银行深圳分行：警银联手按下“止损键”，守护客户资金安全,https://stcn.com/article/detail/1471218.html,2024-12-28 07:18,证券时报网,交通银行 深圳分行：警 银 联手按下“止损键”，守护客户资金安全 近日， 交通银行 深圳分行成功阻止了一起精心策划的传销...反诈防骗工作任重而道远， 交通银行 深圳分行将始终坚持以人民为中心，持续加强警 银 合作，筑牢金融安全防线，为营造安全、和谐的社会环境积极贡献力量。（CIS） 证券时报网,近日，交通银行深圳分行成功阻止了一起精心策划的传销诈骗案件，有效避免了客户郑先生遭受重大经济损失，守护了客户的资金和人身安全。 据悉，不法分子利用短视频社交平台，以“高收益投资项目”为诱饵，将远在贵州的郑先生骗至深圳，并企图将其卷入传销组织。郑先生到达深圳后，不法分子对其进行了长时间的禁锢和恐吓，迫使其配合进行非法转账操作。事发当日上午，郑先生被迫来到交通银行深圳华发支行办理金额达30万元的转账业务。在办理过程中，银行工作人员敏锐地察觉到郑先生神情紧张、言语混乱等异常行为，立刻提高了警惕，并凭借丰富的经验，判断出客户可能正在遭遇诈骗。 面对这一紧急情况，银行工作人员迅速启动应急预案，以业务需要核实为由先稳住客户，同时第一时间通知分管行长，分管行长安排轮值主管继续与客户沟通，稳定其情绪，并紧急联系辖区民警和物业安保人员，共同商讨拦截计划。 在银行、警方和物业的紧密合作下，一场紧张有序的拦截行动迅速展开。物业安保人员首先封锁了银行周边的出入口，并对周边环境进行监控，确保无可疑人员干扰；民警迅速到达现场，对郑先生进行了有效保护。在多方的共同努力下，这起传销诈骗案件被成功阻截，守护了郑先生的资金安全，也为警方打击违法犯罪提供了重要线索。 反诈防骗工作任重而道远，交通银行深圳分行将始终坚持以人民为中心，持续加强警银合作，筑牢金融安全防线，为营造安全、和谐的社会环境积极贡献力量。（CIS）
交通银行,交通银行深圳分行走进校园开展反洗钱宣传活动,https://stcn.com/article/detail/1471764.html,2024-12-30 06:47,证券时报网,交通银行 深圳分行走进校园开展反洗钱宣传活动 近日， 交通银行 深圳分行积极响应国家反洗钱号召，走进深圳市智造城实验学校，举办了一场主题为“共筑反洗钱防线，喜迎元旦新篇章”的反洗钱宣传活动，吸引了近百名师生参与。活动中， 交通银行 深圳前进支行的志愿者们... 证券时报网,近日，交通银行深圳分行积极响应国家反洗钱号召，走进深圳市智造城实验学校，举办了一场主题为“共筑反洗钱防线，喜迎元旦新篇章”的反洗钱宣传活动，吸引了近百名师生参与。 活动中，交通银行深圳前进支行的志愿者们提醒大家，节日期间网络购物、资金转账频繁，不法分子可能会利用这一时机，混在正常交易中进行非法资金转移。师生们要时刻保持警惕，切勿因贪图小利而陷入洗钱犯罪的陷阱。同时，工作人员还分享了近期典型的洗钱案例，如充值返现等欺诈手段，帮助大家更好地识别洗钱陷阱。 为了更深入地普及反洗钱知识，交通银行深圳分行的工作人员精心准备了宣传折页和反洗钱宣讲课堂，通过生动的案例讲解和互动问答，让师生们全面了解反洗钱法律法规，掌握识别洗钱犯罪的方法和技巧。此外，活动还特别设置了有奖知识问答环节，以生动有趣的方式加深了大家对反洗钱知识的理解和记忆。活动现场气氛热烈，师生们积极参与互动，纷纷表示此次活动提高了自己的反洗钱意识。 反洗钱工作是一项长期而艰巨的任务。未来，交通银行深圳分行将继续积极履行社会责任，加强与社会各界的合作，共同筑牢反洗钱防线，不断创新宣传方式，提高宣传效果，以实际行动守护金融秩序的稳定与安全。（CIS）
交通银行,交通银行深圳分行积极行动 助力打通深汕金融宣教“最后一公里”,https://stcn.com/article/detail/1471760.html,2024-12-30 06:47,证券时报网,交通银行 深圳分行积极行动 助力打通深汕金融宣教“最后一公里” 交通银行 深圳分行始终秉持“金融为民”的服务理念，积极履行社会责任，将金融知识的普及工作深入到深汕地区的每个角落，特别是县乡区域，致力于提升农村金融服务水平，为当地居民提供更加暖心的金融服务。... 证券时报网,深汕特别合作区是深圳深入实施“百千万工程”的主阵地、推进乡村全面振兴的主战场。交通银行深圳分行始终秉持“金融为民”的服务理念，积极履行社会责任，将金融知识的普及工作深入到深汕地区的每个角落，特别是县乡区域，致力于提升农村金融服务水平，为当地居民提供更加暖心的金融服务。 为进一步提升深汕地区村民的金融素养和风险防范意识，交通银行深圳分行联合有关媒体共同举办了“金融为民·金融消保知识进农村”教育宣传活动，走进深汕特别合作区鹅埠镇红罗畲族村，通过分发金融消保宣传手册、现场答疑解惑、设置金融知识问答和游戏互动环节等多种形式，向村民们普及了消费者八大权益、理性维权、防范违法金融活动等重要知识。同时，工作人员还积极倡导合理理财，普及储蓄国债知识，帮助村民们树立正确的金融观念。活动覆盖鹅埠镇红罗畲族村1000余名村民，发放宣传折页和手册共计2000余份，取得了良好的社会效果。 交通银行深圳分行还积极与区内公安部门合作，紧密围绕实际需要，共同开展具有乡村特色的金融宣传活动。例如，与深汕公安联合举办的“守好拆迁款，护好你我他”金融教育宣传活动，就深受村民们的欢迎。活动提高了大家的反洗钱、反赌反诈、防非法集资等意识和能力，帮助大家有效防范电信诈骗和其他潜在的金融风险。现场银行工作人员还为大家科普了人民币的公众防伪特征，介绍了银行支付便利化的相关措施，让村民们对金融安全有了更加深入的了解。 此外，交通银行深圳分行还借助深汕合作区农渔局主办的2024年“中国农民丰收节”暨大安红色村首批农文旅项目营运启动活动的契机，在现场设立了金融宣传站点，通过发放金融知识信息宣传册，设置金融防诈反诈知识小问答及投球赢奖等小游戏，与当地村民及到访游客进行互动，工作人员现场一一解答了村民们关于金融消费者权益保护、金融理财、普惠贷款等业务咨询，活动覆盖约300人，得到了村民们的一致好评。 未来，交通银行深圳分行将继续秉承“金融为民”的服务理念，深化多方合作，积极加大金融知识普及力度，不断提升金融服务质量，助力深汕特别合作区高质量发展。（CIS）
交通银行,助力煤电绿色转型交通银行山西省分行落地首笔煤电行业转型贷款,https://stcn.com/article/detail/1473447.html,2024-12-31 06:50,证券时报网,助力煤电绿色转型 交通银行 山西省分行落地首笔煤电行业转型贷款 12月13日， 交通银行 山西省分行向某发电有限责任公司发放可持续发展挂钩贷款5500万元，该笔贷款为 交通银行 山西省分行首笔煤电行业转型贷款。山西省是我国重要的能源资源供应基地，全力打造能源革命综合试点先行区，... 证券时报网,12月13日，交通银行山西省分行向某发电有限责任公司发放可持续发展挂钩贷款5500万元，该笔贷款为交通银行山西省分行首笔煤电行业转型贷款。 山西省是我国重要的能源资源供应基地，全力打造能源革命综合试点先行区，加快煤电行业绿色低碳转型。转型金融聚焦于推动传统高碳行业低碳转型，是支持煤电行业绿色低碳转型的重要金融工具，在中国人民银行山西省分行指导下，交通银行山西省分行积极对接煤电行业客户，运用转型金融方式，在解决客户资金需求的同时推动其加快绿色低碳转型。（CIS）
交通银行,交通银行深圳分行：喜迎元旦送温暖，银发关怀筑防线,https://stcn.com/article/detail/1473436.html,2024-12-31 06:50,证券时报网,交通银行 深圳分行：喜迎元旦送温暖，银发关怀筑防线 临近元旦佳节， 交通银行 深圳分行携手深圳市南山区沙河街道文昌街社区长青老龄大学，共同举办了一场以“元旦新起航，银发关怀防诈新篇章”为主题的送温暖慰问活动，进一步深化银行适老化服务，将温暖与关怀送入老年... 证券时报网,临近元旦佳节，交通银行深圳分行携手深圳市南山区沙河街道文昌街社区长青老龄大学，共同举办了一场以“元旦新起航，银发关怀防诈新篇章”为主题的送温暖慰问活动，进一步深化银行适老化服务，将温暖与关怀送入老年社区。 活动现场，交通银行深圳分行精心组织了一场蝶骨巴特包制作活动。在工作人员的细心指引和耐心帮助下，现场参与的老年人们发挥创意，通过剪裁、拼接、贴画等工序，亲手制作出一个个五彩斑斓、独具匠心的手提包。大家兴奋地展示自己的作品，互相点评交流，现场洋溢着欢声笑语。同时，工作人员还向老年人们详细讲解了如何防范养老诈骗，提高他们的风险意识和防范能力。通过生动的案例分析和实用的防骗技巧，让大家更加深入地了解了各类诈骗手段，学会了如何保护自己的财产安全。 活动结束后，工作人员还为老年人们送上了精心准备的慰问品，并与他们亲切交谈，聆听心声，了解他们的生活需要。现场的老年人们对活动给予一致好评，表示交行让他们真切感受到了来自社会的温暖与关怀。 未来，交通银行深圳分行将继续深耕养老金融领域，不断探索创新服务模式，为老年人提供更贴心、便捷的金融服务，为银发群体送去更多温暖与关怀。 （CIS）
交通银行,交通银行深圳分行：走进深汕地区开展金融教育宣传活动,https://stcn.com/article/detail/1473443.html,2024-12-31 06:50,证券时报网,交通银行 深圳分行：走进深汕地区开展金融教育宣传活动 近日， 交通银行 深圳分行积极响应国家关于加强金融教育的号召，深入深汕特别合作区，结合“秋冬圳薪意”主题活动，开展了一系列金融教育宣传活动。期间， 交通银行 深圳分行走进了深汕特别合作区赤石中小学，为大家送去... 证券时报网,近日，交通银行深圳分行积极响应国家关于加强金融教育的号召，深入深汕特别合作区，结合“秋冬圳薪意”主题活动，开展了一系列金融教育宣传活动。期间，交通银行深圳分行走进了深汕特别合作区赤石中小学，为大家送去了冬天的第一堂“金融课”。 为确保活动取得实效，交通银行深圳深汕支行成立了金融知识宣讲小组。宣讲小组围绕强化金融教育、提升消费者金融素养的核心目标，设计了内容丰富、形式多样的宣传内容，涵盖了“个人养老金惠及你我他”、“预防电信诈骗，打击网络犯罪”、“践行金融使命，织牢洗钱犯罪防控网”、“反假货币，人人有责”等主题，旨在帮助大家了解金融常识，提升风险防范意识和自我保护能力。 活动现场，交通银行深圳分行的工作人员通过播放原创宣传短片、互动问答等方式，寓教于乐向参与者传递金融知识。活动还特别设置了扫码答题赢取“三反”（反诈、反假、反洗钱）咖啡和套圈游戏赢奖品等趣味环节，进一步激发了大家参与活动的热情。活动中，银行工作人员着重讲解了防范非法集资的相关知识，提醒大家警惕不法分子可能利用虚构网络平台、通讯工具、微信群、会员制等手段进行虚假宣传，面对所谓收益高、无风险、入会就有利等诱惑性说法，要保持警觉，切勿盲目跟风投资，避免上当受骗。 此外，交通银行深圳分行的工作人员还深入课堂，为中小学师生们带来了生动有趣的金融知识讲座。讲座内容涉及个人养老金、反诈知识、反假货币、数字人民币、反洗钱等，通过“沉浸式”互动学习，让孩子们在欢声笑语中掌握了金融常识，帮助提高师生们的风险防范能力。 交通银行深圳分行将继续秉持“以客户为中心”的服务理念，持续加大金融知识普及力度，全面提升服务质量，为营造安全稳定的金融环境贡献力量。 （CIS）
交通银行,交通银行深圳分行：联动市医保局龙岗分局 打造群众“家门口”的医保服务站点,https://stcn.com/article/detail/1485742.html,2025-01-09 06:46,证券时报网,交通银行 深圳分行：联动市医保局龙岗分局 打造群众“家门口”的医保服务站点 1月7日上午， 交通银行 医保服务e站启动会暨揭牌仪式在 交通 ...未来， 交通银行 深圳分行将继续秉持金融为民理念，持续深化政 银 、 银 医合作，积极创新服务模式，提升服务质效，为优化便民服务、增进民生福祉贡献力量。（CIS） 证券时报网,1月7日上午，交通银行医保服务e站启动会暨揭牌仪式在交通银行深圳龙岗支行顺利举行，标志着龙岗区正式开启了“医保+银行”合作服务的新模式。龙岗区人民政府副区长张玉庆，深圳市医疗保险基金管理中心主任秦丽芳，交通银行深圳分行党委委员、副行长段磊，深圳市医疗保障局龙岗分局局长张欣等相关单位负责人出席。 深化政银合作，打造便民新模式 去年9月，深圳市医疗保障局龙岗分局与交通银行深圳分行建立了战略合作关系，在交通银行深圳龙岗支行、横岗支行、布吉支行三个网点率先启动了“银行医保业务服务点”的建设工作，充分发挥银行网点的资源优势、基层平台优势以及信息技术保障，将医保业务延伸至银行网点。该项目是深圳市医疗保障局深化“高效办成一件事”改革的重要举措，进一步拓宽了医保服务的覆盖面，实现龙岗区“15分钟医保服务圈”建设再提速。 严格规范建设标准，保障服务质量 深圳市医疗保障局龙岗分局严格按照“六有”建设标准（即有场所、有人员、有标识、有设备、有专网、有清单）对银行网点进行了全面规范。同时，还将参保信息查询、门诊住院费用报销、异地就医备案等17项医保高频业务纳入服务清单，通过分批集中培训、以岗代训等方式，确保银行经办人员能够熟练掌握医保政策及业务办理流程，真正实现医保服务“沉得下、接得住”。 医保服务进网点，市民办事更便捷 目前，交通银行深圳分行在龙岗区内各个网点均已悬挂“医保业务服务点”的标识标牌，并在服务大厅内设立了医保服务e站。市民群众在相关网点内，可向医保专职工作人员咨询办理医保业务，或者使用大厅内设立的医保自助服务终端进行自助操作，助力实现医保业务“少跑路、跑短路、就近办”，为参保企业和参保群众提供了实实在在的便利。 未来，交通银行深圳分行将继续秉持金融为民理念，持续深化政银、银医合作，积极创新服务模式，提升服务质效，为优化便民服务、增进民生福祉贡献力量。（CIS）
交通银行,交通银行山西省分行落地山西省首笔焦化行业转型金融信用证业务,https://stcn.com/article/detail/1485730.html,2025-01-09 06:46,证券时报网,交通银行 山西省分行落地山西省首笔焦化行业转型金融信用证业务 2024年12月9日， 交通银行 山西省分行为山西省某大型民营焦化企业发放国内信用证3000万元，该笔业务为山西省首笔焦化行业转型金融信用证业务。山西省长期以来一直是全国最大的焦炭生产供应基地，近年来加快推进焦化... 证券时报网,2024年12月9日，交通银行山西省分行为山西省某大型民营焦化企业发放国内信用证3000万元，该笔业务为山西省首笔焦化行业转型金融信用证业务。 山西省长期以来一直是全国最大的焦炭生产供应基地，近年来加快推进焦化行业绿色低碳转型。2024年6月，中国人民银行山西省分行等8部门联合制定了《山西省焦化行业转型金融支持目录（试行）》，引导金融机构对焦化行业绿色发展和低碳转型提供优质金融服务。在中国人民银行山西省分行指导下，交通银行山西省分行积极对接焦化行业客户，运用转型金融方式，解决客户资金需求的同时有力推动企业低碳转型。（CIS）
